NAMES.BREEDINGBOX_NC	Hộp hạt giống
CHARACTERS.GENERIC.DESCRIBE.FT_CHERRY_OVERSIZED_WAXED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_CHERRY_SEEDS	Trồng xuống đất sẽ có thu hoạch bất ngờ.
CHARACTERS.GENERIC.DESCRIBE.FT_CITRUS	Quả đào vàng phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_CITYHALL	Nhà thị trưởng
CHARACTERS.GENERIC.DESCRIBE.FT_CLOCK	Muốn nhắc nhở điều gì đó
CHARACTERS.GENERIC.DESCRIBE.FT_COFFEETABLE	Một chiếc bàn trà phát sáng
CHARACTERS.GENERIC.DESCRIBE.FT_COIN	Hình như phải lấp đầy rương mới được
CHARACTERS.GENERIC.DESCRIBE.FT_CRYSTAL	Một khối đá tinh thể lấp lánh và huyền bí, chắc chắn sẽ có ích.
CHARACTERS.GENERIC.DESCRIBE.FT_CRYSTALGRAIN	Những hạt nhỏ lấp lánh
CHARACTERS.GENERIC.DESCRIBE.FT_CRYSTALORE	Vừa nặng vừa sáng, đầy tiềm năng.
CHARACTERS.GENERIC.DESCRIBE.FT_DEERCLOPS	Bé Deerclops
CHARACTERS.GENERIC.DESCRIBE.FT_DEERCLOPS_EGG	Trứng Deerclops
CHARACTERS.GENERIC.DESCRIBE.FT_DEERCLOPS_ICEBOX_1	Có thể sửa chữa
CHARACTERS.GENERIC.DESCRIBE.FT_DEERCLOPS_ICEBOX_2	Là kho lạnh nè~ thức ăn giữ tươi được rồi~
CHARACTERS.GENERIC.DESCRIBE.FT_DISPLAYCASE	Tủ trưng bày vật phẩm, rương
CHARACTERS.GENERIC.DESCRIBE.FT_DRAGONFLY	Bé Dragonfly
CHARACTERS.GENERIC.DESCRIBE.FT_DRAGONFLY_FACTORY_1	Lò luyện Dragonfly
CHARACTERS.GENERIC.DESCRIBE.FT_DRAGONFLY_FACTORY_2	Lò luyện Dragonfly
CHARACTERS.GENERIC.DESCRIBE.FT_ELEPHANTSPRINKLER	Giúp mình được việc lớn!!
CHARACTERS.GENERIC.DESCRIBE.FT_FESTIVALHAT	Chúc mừng phát tài, lì xì mau đem ra
CHARACTERS.GENERIC.DESCRIBE.FT_FIREPLACE	Ấm áp~
CHARACTERS.GENERIC.DESCRIBE.FT_FLOWERRACK	Kệ hoa~ cắm thật nhiều hoa~
CHARACTERS.GENERIC.DESCRIBE.FT_FOUNTAIN	Mình muốn thả một đồng xu cổ tích để ước nguyện
CHARACTERS.GENERIC.DESCRIBE.FT_FOXBAG	Sắc hồng mềm mại này khiến mình nhớ về những giấc mơ trôi nổi sâu trong ký ức... thật bình yên
CHARACTERS.GENERIC.DESCRIBE.FT_FOXMASK_MALE	Ai làm rớt đồ chơi vậy
CHARACTERS.GENERIC.DESCRIBE.FT_FUNGI	Một chiếc áo nấm đầy bí ẩn
CHARACTERS.GENERIC.DESCRIBE.FT_FUNGITREE	Một cây nấm khổng lồ đầy bí ẩn
CHARACTERS.GENERIC.DESCRIBE.FT_GRAPEFRUIT	Quả bưởi phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_GRAPEFRUIT_COOKED	Bưởi nướng~!
CHARACTERS.GENERIC.DESCRIBE.FT_GRAPEFRUIT_SEEDS	Hạt bưởi
CHARACTERS.GENERIC.DESCRIBE.FT_GRAPEFRUIT_SEEDS_COOKED	Hạt bưởi nướng
CHARACTERS.GENERIC.DESCRIBE.FT_GRAPEFRUIT_TREE	Cây bưởi phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_GRAPEFRUIT_TREE_EMPTY	Cây bưởi phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_GRAPEFRUIT_TREE_FULL	Cây bưởi phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_GRAPEFRUIT_TREE_LARGE	Cây bưởi phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_GRAPEFRUIT_TREE_SMALL	Cây bưởi phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_GREATLOG	Là do bé Bearger chế ra!
CHARACTERS.GENERIC.DESCRIBE.FT_HEXSTICK	Cái que này trông đáng sợ, mà thực ra cũng đáng sợ thật!
CHARACTERS.GENERIC.DESCRIBE.FT_HJMHAMMER	Cậu không có mẹ à? Để tớ đưa cậu về nhà nhé~
CHARACTERS.GENERIC.DESCRIBE.FT_HJMHOUSE	Nhà Mèo
CHARACTERS.GENERIC.DESCRIBE.FT_HJMWELL	Con mèo này bị kẹt trên giếng nước à?
CHARACTERS.GENERIC.DESCRIBE.FT_HOMESIGN	Hình như nó muốn nói với mình điều gì đó
CHARACTERS.GENERIC.DESCRIBE.FT_HOTPOT	Lẩu ăn chung mới ngon!
CHARACTERS.GENERIC.DESCRIBE.FT_HOTPOT_ITEM	Lẩu ăn chung mới ngon!
CHARACTERS.GENERIC.DESCRIBE.FT_LANTERN	Hạt tinh thể đang cháy
CHARACTERS.GENERIC.DESCRIBE.FT_LICHEE	Tươi mát, ngon miệng.
CHARACTERS.GENERIC.DESCRIBE.FT_LICHEE_COOKED	Trái cây nướng à? Vị kỳ kỳ.
CHARACTERS.GENERIC.DESCRIBE.FT_LICHEE_FAIRY	Trợ thủ đắc lực, cô ấy sẽ giúp mình chăm sóc vải đó~!
CHARACTERS.GENERIC.DESCRIBE.FT_LICHEE_OVERSIZED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_LICHEE_OVERSIZED_ROTTEN	Lẽ ra mình không nên bỏ mặc nó, nó sắp biến mất rồi.
CHARACTERS.GENERIC.DESCRIBE.FT_LICHEE_OVERSIZED_WAXED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_LICHEE_SEEDS	Trồng xuống đất sẽ có thu hoạch bất ngờ.
CHARACTERS.GENERIC.DESCRIBE.FT_LOTUSLEAF	Lá sen nhỏ
CHARACTERS.GENERIC.DESCRIBE.FT_LOTUSLEAF_ITEM	Lá sen nhỏ
CHARACTERS.GENERIC.DESCRIBE.FT_LOTUSSTATUE	Ma thuật đến từ truyện cổ tích
CHARACTERS.GENERIC.DESCRIBE.FT_MAGICHOUSE	Một cửa hàng đầy phép màu kỳ diệu. Xem thử có gì bán nào!
CHARACTERS.GENERIC.DESCRIBE.FT_MAGICSTAFF	Trông như nó giải quyết được nhiều vấn đề...
CHARACTERS.GENERIC.DESCRIBE.FT_MAGICSTONE	Trông đầy ma thuật
CHARACTERS.GENERIC.DESCRIBE.FT_MANGO	Tươi mát, ngon miệng.
CHARACTERS.GENERIC.DESCRIBE.FT_MANGOSTEEN	Tươi mát, ngon miệng.
CHARACTERS.GENERIC.DESCRIBE.FT_MANGOSTEEN_COOKED	Trái cây nướng à? Vị kỳ kỳ.
CHARACTERS.GENERIC.DESCRIBE.FT_MANGOSTEEN_FAIRY	Trợ thủ đắc lực, cô ấy sẽ giúp mình chăm sóc măng cụt đó~!
CHARACTERS.GENERIC.DESCRIBE.FT_MANGOSTEEN_OVERSIZED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_MANGOSTEEN_OVERSIZED_ROTTEN	Lẽ ra mình không nên bỏ mặc nó, nó sắp biến mất rồi.
CHARACTERS.GENERIC.DESCRIBE.FT_MANGOSTEEN_OVERSIZED_WAXED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_MANGOSTEEN_SEEDS	Trồng xuống đất sẽ có thu hoạch bất ngờ.
CHARACTERS.GENERIC.DESCRIBE.FT_MANGO_COOKED	Trái cây nướng à? Vị kỳ kỳ.
CHARACTERS.GENERIC.DESCRIBE.FT_MANGO_DRIED	Ngọt ngọt, ăn vào sẽ vui~
CHARACTERS.GENERIC.DESCRIBE.FT_MANGO_FAIRY	Trợ thủ đắc lực, cô ấy sẽ giúp mình chăm sóc xoài đó~!
CHARACTERS.GENERIC.DESCRIBE.FT_MANGO_OVERSIZED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_MANGO_OVERSIZED_ROTTEN	Lẽ ra mình không nên bỏ mặc nó, nó sắp biến mất rồi.
CHARACTERS.GENERIC.DESCRIBE.FT_MANGO_OVERSIZED_WAXED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_MANGO_SEEDS	Trồng xuống đất sẽ có thu hoạch bất ngờ.
CHARACTERS.GENERIC.DESCRIBE.FT_MEDICINE_HAPPY	Uống vào sẽ vui~
CHARACTERS.GENERIC.DESCRIBE.FT_MEDICINE_HEALTH	Thuốc hồi máu
CHARACTERS.GENERIC.DESCRIBE.FT_MEDICINE_STRONG	Thuốc cường tráng~
CHARACTERS.GENERIC.DESCRIBE.FT_MUD	Bẩn thỉu, nhưng có thể dùng để bón phân
CHARACTERS.GENERIC.DESCRIBE.FT_NAVIGATION	Ở đây có bạn sóc nhỏ hướng dẫn của thị trấn cổ tích nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_PEBBLE	Kệ hoa~ cắm thật nhiều hoa~
CHARACTERS.GENERIC.DESCRIBE.FT_PEBBLE_ITEM	Một viên sỏi yên tĩnh
CHARACTERS.GENERIC.DESCRIBE.FT_PIANO	Mình cũng muốn thử~
CHARACTERS.GENERIC.DESCRIBE.FT_PILLAR_1	Là một cái cột phát sáng nè
CHARACTERS.GENERIC.DESCRIBE.FT_PINEAPPLE	Tươi mát, ngon miệng.
CHARACTERS.GENERIC.DESCRIBE.FT_PINEAPPLE_COOKED	Trái cây nướng à? Vị kỳ kỳ.
CHARACTERS.GENERIC.DESCRIBE.FT_PINEAPPLE_FAIRY	Trợ thủ đắc lực, cô ấy sẽ giúp mình chăm sóc dứa đó~!
CHARACTERS.GENERIC.DESCRIBE.FT_PINEAPPLE_OVERSIZED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_PINEAPPLE_OVERSIZED_ROTTEN	Lẽ ra mình không nên bỏ mặc nó, nó sắp biến mất rồi.
CHARACTERS.GENERIC.DESCRIBE.FT_PINEAPPLE_OVERSIZED_WAXED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_PINEAPPLE_SEEDS	Trồng xuống đất sẽ có thu hoạch bất ngờ.
CHARACTERS.GENERIC.DESCRIBE.FT_PISTACHIO	Nắng? Nước? Mọi thứ vừa vặn, sẵn sàng đón một vụ mùa bội thu nào!
CHARACTERS.GENERIC.DESCRIBE.FT_PISTACHIOSEEDS	Hình như nướng lên sẽ thơm hơn
CHARACTERS.GENERIC.DESCRIBE.FT_PISTACHIOSEEDS_DRY	Đồ ăn vặt phải có, coi chừng nóng trong người
CHARACTERS.GENERIC.DESCRIBE.FT_PISTACHIO_DUG	Phải tìm chỗ trồng nó xuống thôi
CHARACTERS.GENERIC.DESCRIBE.FT_PLANTMA	Bà ơi hôm nay bà lại trẻ ra rồi~!
CHARACTERS.GENERIC.DESCRIBE.FT_PLANTMA_CART	Hình như phải lấp đầy rương mới được
CHARACTERS.GENERIC.DESCRIBE.FT_POTION_BLUE	Mong là mình không chạy nhanh quá rồi ngã.
CHARACTERS.GENERIC.DESCRIBE.FT_POTION_GREEN	Uống cái này vào, cảm giác mọi thứ đều trở nên dễ dàng!
CHARACTERS.GENERIC.DESCRIBE.FT_POTION_RED	Nếu nó làm mình mạnh hơn, mình chẳng buồn hỏi thành phần là gì
CHARACTERS.GENERIC.DESCRIBE.FT_POTTEDPLANT	Hoa đang nở rộ~
CHARACTERS.GENERIC.DESCRIBE.FT_ROASTER	Nướng~~ è è è
CHARACTERS.GENERIC.DESCRIBE.FT_ROSELIGHT	Cây đèn đường này sáng lên kiểu gì vậy? Không lửa, cũng không điện...
CHARACTERS.GENERIC.DESCRIBE.FT_SHOWER	Tắm thơm tho~
CHARACTERS.GENERIC.DESCRIBE.FT_SINK	Rửa tay~ diệt vi khuẩn~
CHARACTERS.GENERIC.DESCRIBE.FT_STONECONTAINER	Là một chiếc rương hình thù kỳ lạ
CHARACTERS.GENERIC.DESCRIBE.FT_STONESWORD	Một thanh kiếm bị kẹt trong đá... như trái tim mình bị nỗi buồn trói buộc
CHARACTERS.GENERIC.DESCRIBE.FT_STONESWORD2	Một thanh kiếm bị kẹt trong đá... như trái tim mình bị nỗi buồn trói buộc
CHARACTERS.GENERIC.DESCRIBE.FT_STRAWBERRY	Tươi mát, ngon miệng.
CHARACTERS.GENERIC.DESCRIBE.FT_STRAWBERRY_COOKED	Trái cây nướng à? Vị kỳ kỳ.
CHARACTERS.GENERIC.DESCRIBE.FT_STRAWBERRY_FAIRY	Trợ thủ đắc lực, cô ấy sẽ giúp mình chăm sóc dâu tây đó~!
CHARACTERS.GENERIC.DESCRIBE.FT_STRAWBERRY_OVERSIZED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_STRAWBERRY_OVERSIZED_ROTTEN	Lẽ ra mình không nên bỏ mặc nó, nó sắp biến mất rồi.
CHARACTERS.GENERIC.DESCRIBE.FT_STRAWBERRY_OVERSIZED_WAXED	Dễ thương thế này, mình chẳng nỡ ăn mất.
CHARACTERS.GENERIC.DESCRIBE.FT_STRAWBERRY_SEEDS	Trồng xuống đất sẽ có thu hoạch bất ngờ.
CHARACTERS.GENERIC.DESCRIBE.FT_SUNFLOWER	Hoa hướng dương không chỉ là đóa hoa đẹp, mà còn có ý chí bất khuất
CHARACTERS.GENERIC.DESCRIBE.FT_SUNFLOWERSEEDS	Hình như nướng lên sẽ thơm hơn
CHARACTERS.GENERIC.DESCRIBE.FT_SUNFLOWERSEEDS_DRY	Cắn hạt phải có, coi chừng nóng trong người
CHARACTERS.GENERIC.DESCRIBE.FT_SUNFLOWER_DUG	Phải tìm chỗ trồng nó xuống thôi
CHARACTERS.GENERIC.DESCRIBE.FT_SWING	Xích đu nhỏ, đung đưa đung đưa~
CHARACTERS.GENERIC.DESCRIBE.FT_SWING_DOUBLE	Xích đu nhỏ, đung đưa đung đưa~
CHARACTERS.GENERIC.DESCRIBE.FT_TASK_MAIL	Hòm thư công hội
CHARACTERS.GENERIC.DESCRIBE.FT_TASK_STRUCTURE	Công trình nhiệm vụ
CHARACTERS.GENERIC.DESCRIBE.FT_TELEGATE_BLUE	Cổng dịch chuyển nè~
CHARACTERS.GENERIC.DESCRIBE.FT_TELEGATE_GREEN	Cổng dịch chuyển nè~
CHARACTERS.GENERIC.DESCRIBE.FT_TENT	Lều trại mọi người cùng dựng
CHARACTERS.GENERIC.DESCRIBE.FT_TENTACLE_UMBRELLA	Cái... dù gì rách thế?
CHARACTERS.GENERIC.DESCRIBE.FT_TRADINGBANK	Nơi đổi đồng xu cổ tích
CHARACTERS.GENERIC.DESCRIBE.FT_TREELAMP	Xung quanh sáng hết lên rồi~
CHARACTERS.GENERIC.DESCRIBE.FT_VICIOUSHAT	Chào nhóc lắm mồm
CHARACTERS.GENERIC.DESCRIBE.FT_VICIOUSHAT2	Mình biết cậu khẩu xà tâm Phật mà
CHARACTERS.GENERIC.DESCRIBE.FT_WANXIANGBAG	Cái túi nhỏ xài đỉnh thật~
CHARACTERS.GENERIC.DESCRIBE.FT_WHEAT	Chắc mình có thể dùng nó nướng ít bánh mì
CHARACTERS.GENERIC.DESCRIBE.FT_WHEAT_PLANT	Là lúa mì! Nền tảng của văn minh
CHARACTERS.GENERIC.DESCRIBE.FT_WHEAT_SEED	Một tia sống nhỏ nhoi, ắt sẽ lụi tàn
CHARACTERS.GENERIC.DESCRIBE.FT_WISHSTICK	Cầu chúc may mắn, quẻ thượng thượng!
CHARACTERS.GENERIC.DESCRIBE.FT_WORK_ROBOT	A Đa
CHARACTERS.GENERIC.DESCRIBE.FT_YELLOWPEACH_COOKED	Đào vàng nướng~!
CHARACTERS.GENERIC.DESCRIBE.FT_YELLOWPEACH_SEEDS	Hạt đào vàng
CHARACTERS.GENERIC.DESCRIBE.FT_YELLOWPEACH_SEEDS_COOKED	Hạt đào vàng nướng
CHARACTERS.GENERIC.DESCRIBE.FT_YELLOWPEACH_TREE	Cây đào vàng phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_YELLOWPEACH_TREE_EMPTY	Cây đào vàng phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_YELLOWPEACH_TREE_FULL	Cây đào vàng phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_YELLOWPEACH_TREE_LARGE	Cây đào vàng phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_YELLOWPEACH_TREE_SMALL	Cây đào vàng phát sáng nè~!
CHARACTERS.GENERIC.DESCRIBE.FT_YOLII	Cô ấy là thị trưởng của thị trấn cổ tích
CHARACTERS.GENERIC.DESCRIBE.FT_ZHAOZI	Một tinh linh nhỏ dễ thương
CHARACTERS.GENERIC.DESCRIBE.GRANARY_NC	Cao thủ trữ lương!
CHARACTERS.GENERIC.DESCRIBE.GRANARY_NC_BUILT	Cao thủ trữ lương!
CHARACTERS.GENERIC.DESCRIBE.MONKEY2	Mình cá là nó thông minh hơn vẻ ngoài.
CHARACTERS.GENERIC.DESCRIBE.MOOSE3	Đó là một con chim lớn... hay là một con nai?
CHARACTERS.GENERIC.DESCRIBE.NOCHANGXIAOWU	Xưởng làm việc của các con vật nhỏ~
CHARACTERS.GENERIC.DESCRIBE.NOCHANGXIAOWU0	Xưởng làm việc của các con vật nhỏ~
CHARACTERS.GENERIC.DESCRIBE.THSJ_BFSGGT	Đồ hộp hồi máu
CHARACTERS.GENERIC.DESCRIBE.THSJ_BLF	Một tô ăn no căng! Nhiều ơi là nhiều!
CHARACTERS.GENERIC.DESCRIBE.THSJ_FEILIAO	Gói dinh dưỡng mà các bé cây thích nhất~
CHARACTERS.GENERIC.DESCRIBE.THSJ_FMYZC	Trà bưởi mật ong giải nhiệt
CHARACTERS.GENERIC.DESCRIBE.THSJ_PTJ	Nhấp một ngụm nhỏ, ngà ngà say cũng hay~
CHARACTERS.GENERIC.DESCRIBE.THSJ_ROCKTIPS	Ký hiệu trên này có ý nghĩa đặc biệt gì không nhỉ
CHARACTERS.GENERIC.DESCRIBE.THSJ_TMB	Chị Bội Linh rất thích cây roi này
CHARACTERS.GENERIC.DESCRIBE.THSJ_WINGS	Đôi cánh rơi ra từ Nữ vương tinh linh
CHARACTERS.GENERIC.DESCRIBE.THSJ_YZGL	Mệt mỏi buồn ngủ thì uống chè dương chi cam lộ~ làm việc cực hăng~
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF1	Gạch ô vuông 1
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF10	Sàn ô vuông xám nhạt
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF11	Đường đá xanh
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF12	Bãi cát 1
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF13	Sàn ô vuông lớn xám đậm
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF14	Sàn xám đậm
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF15	Sàn ô vuông xám đậm
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF2	Gạch ô vuông 2
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF3	Gạch ô vuông 3
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF4	Sàn hoa
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF5	Sàn ô vuông hoa
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF6	Đường đá hoa
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF7	Gạch đá lớn màu xám
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF8	Sàn hình thoi
CHARACTERS.GENERIC.DESCRIBE.TURF_FT_TURF9	Sàn xám nhạt
ACTIONS.APPLYCONSTRUCTION.NOCHANGXIAOWU	Nâng cấp
ACTIONS.CARE_PLANT	Chăm sóc cây
ACTIONS.FOLLOW	Đi theo
ACTIONS.FT_BEARGER_WORK	Làm việc
ACTIONS.FT_CHANGEMASK	Đổi
ACTIONS.FT_COOK	Nấu ăn
ACTIONS.FT_COOK_CLOSE	Đóng
ACTIONS.FT_CUTFUNGI	Gọt vỏ
ACTIONS.FT_DEERCLOPS_WORK	Làm việc
ACTIONS.FT_DRAGONFLY_WORK	Làm việc
ACTIONS.FT_GOTOBED	Ngủ một giấc
ACTIONS.FT_HAMMER	Đập
ACTIONS.FT_HEXSTICK	Thi triển phép
ACTIONS.FT_HOMESIGN_LEFT	Manh mối đảo cổ tích
ACTIONS.FT_HOMESIGN_RIGHT	Giới thiệu MOD
ACTIONS.FT_HOTPOT	Ăn lẩu
ACTIONS.FT_OPEN_TASK_UI	Mở bảng nhiệm vụ
ACTIONS.FT_PICK	Thu hoạch
ACTIONS.FT_PLAYPIANO	Chơi piano
ACTIONS.FT_REPAIR	Sửa chữa
ACTIONS.FT_RUMMAGE	Mở
ACTIONS.FT_SHOWER	Tắm
ACTIONS.FT_SINK	Rửa tay
ACTIONS.FT_SITSWING	Ngồi lên
ACTIONS.FT_THROWCOIN	Thả xu
ACTIONS.FT_TRADE	Giao dịch
ACTIONS.FT_UPGRADE	Nâng cấp
ACTIONS.FT_WORK_ROBOT_HARVEST	Thu hoạch
ACTIONS.FT_WORK_ROBOT_WORKONDEERCLOPS_START	Nhặt
ACTIONS.FT_WORK_ROBOT_WORKONDEERCLOPS_TARGET	Đặt
ACTIONS.GK_WORK_ROBOT_LAND	Hạ cánh
ACTIONS.GK_WORK_ROBOT_REPAIR	Sửa
ACTIONS.JUMPIN.FT_TELEGATE	Kích hoạt
ACTIONS.WAIT	Chờ đã
UI.CRAFTING_FILTERS.FAIRY_FESTIVAL	Lễ hội cổ tích
UI.CRAFTING_FILTERS.FAIRY_FURNITURE	Nội thất cổ tích
UI.CRAFTING_FILTERS.FAIRY_LOTUS	Sùng Tử
UI.CRAFTING_FILTERS.FAIRY_TALES	Công cụ cổ tích
UI.CRAFTING.NEEDSFAIRY_LOTUS	Hãy mượn sức mạnh của Sùng Tử để mở khóa nào!
TRADINGSTORE.BLUEPRINT	Bản thiết kế
TRADINGSTORE.FT_SEASONING_DISHES_TIPS	Chè dương chi cam lộ nêm nếm x5\nTrà bưởi mật ong nêm nếm x5\nCơm rang dứa nêm nếm x5\nTrái cây đóng hộp nêm nếm x5
TRADINGSTORE.NO_FT_COIN	Không đủ đồng xu cổ tích
TRADINGSTORE.NO_MATERIAL	Không đủ nguyên liệu
TRADINGSTORE.STOCK	Tồn kho
CHARACTER_DESCRIPTIONS.thsj_peiling	*Trạng thái trẻ con, ba chỉ số hơi thấp\n*Đầy tò mò về thế giới, lên cấp ba chỉ số bằng cách khám phá điều mới mẻ\n*Thích ở bên cây cối
CHARACTER_NAMES.thsj_peiling	Bội Linh
CHARACTER_QUOTES.thsj_peiling	"Mình sẽ hồi sinh tất cả tinh linh!!"
CHARACTER_SURVIVABILITY.thsj_peiling	Mình sẽ hồi sinh tất cả tinh linh! Sinh tồn nhất định mình vượt qua được!
CHARACTER_TITLES.thsj_peiling	Tinh Linh Thực Vật
